34 - Details Of Assembly Segment Of PC,,,,,,,,,,,
State/UT Name,PC NO,PC NAME,TOTAL ELECTORS IN PC,AC NO,AC NAME,TOTAL ELECTORS IN AC,TOTAL VALID VOTES IN STATE,NOTA VOTES EVM IN AC,CANDIDATE NAME,PARTY,VOTES SECURED EVM
Andhra Pradesh,1,Araku,1557153,13,Salur,204874,33327256,6359,RANJITH KUMAR PALAKA,IND,547
Andhra Pradesh,1,Araku,1557153,13,Salur,204874,33327256,6359,SAMAREDDY BALAKRISHNA,IND,958
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,APPALANARASA PACHIPENTA,CPI(M),45109
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,AVASHYA LAHARI . VARAM,BSP,10465
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,KOTHAPALLI GEETHA,BJP,29824
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,GUMMA THANUJA RANI,YSRCP,62862
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,CHANTI BADNAINA,JBNP,1423
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,MOTTADAM . RAJABABU,BHRTADVSIP,1345
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,RAMBABU JALLI,TLRDSMTP,1073
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,927
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,ATHIDHI,IND,3023
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,NIMMAKA JAYARAJU,IND,867
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,MANDALA GIRIDHARA RAO,IND,1225
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,RANJITH KUMAR PALAKA,IND,2085
Andhra Pradesh,1,Araku,1557153,28,Araku Valley,245623,33327256,12411,SAMAREDDY BALAKRISHNA,IND,2537
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,APPALANARASA PACHIPENTA,CPI(M),27700
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,AVASHYA LAHARI . VARAM,BSP,4541
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,KOTHAPALLI GEETHA,BJP,35836
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,GUMMA THANUJA RANI,YSRCP,69801
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,CHANTI BADNAINA,JBNP,1119
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,MOTTADAM . RAJABABU,BHRTADVSIP,2080
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,RAMBABU JALLI,TLRDSMTP,819
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,884
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,ATHIDHI,IND,2507
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,NIMMAKA JAYARAJU,IND,915
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,MANDALA GIRIDHARA RAO,IND,977
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,RANJITH KUMAR PALAKA,IND,938
Andhra Pradesh,1,Araku,1557153,29,Paderu,248473,33327256,9005,SAMAREDDY BALAKRISHNA,IND,1916
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,APPALANARASA PACHIPENTA,CPI(M),24869
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,AVASHYA LAHARI . VARAM,BSP,3227
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,KOTHAPALLI GEETHA,BJP,76110
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,GUMMA THANUJA RANI,YSRCP,84132
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,CHANTI BADNAINA,JBNP,947
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,MOTTADAM . RAJABABU,BHRTADVSIP,1046
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,RAMBABU JALLI,TLRDSMTP,815
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,718
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,ATHIDHI,IND,817
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,NIMMAKA JAYARAJU,IND,637
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,MANDALA GIRIDHARA RAO,IND,813
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,RANJITH KUMAR PALAKA,IND,932
Andhra Pradesh,1,Araku,1557153,53,Rampachodavaram,277382,33327256,7951,SAMAREDDY BALAKRISHNA,IND,1612
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,KINJARAPU RAMMOHAN NAIDU,TDP,111448
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,TILAK PERADA,YSRCP,66014
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,NAIDUGARI RAJASEKHAR,BSP,542
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,PEDADA PARAMESWARA RAO,INC,661
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,IPPILI SEETHARAJU,JBNP,124
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,KAYA DURGARAO,NRCP,132
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,BOMMALI TIRUPATI RAO,PPOI,61
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,BORUBADRA CHANDRAKALA,BCYP,158
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,CHELLURI DANIYAL,IND,97
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,BETHA VIVEKANANDA MAHARAJ,IND,117
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,YEDDU LAKSHMINARAYANA,IND,199
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,VABA YOGESWARA RAO,IND,438
Andhra Pradesh,2,Srikakulam,1646686,1,Ichchapuram,270180,33327256,4701,SANAPALA SRAVAN KUMAR,IND,1218
